DATE,SUBLPDCLCSLGNQ
1996-01-01,26.8
1996-04-01,25.0
1996-07-01,54.5
1996-10-01,55.9
1997-01-01,38.2
1997-04-01,52.8
1997-07-01,23.3
1997-10-01,24.2
1998-01-01,20.0
1998-04-01,13.3
1998-07-01,17.9
1998-10-01,20.0
1999-01-01,10.3
1999-04-01,13.3
1999-07-01,6.7
1999-10-01,6.9
2000-01-01,10.3
2000-04-01,0.0
2000-07-01,-4.0
2000-10-01,8.7
2001-01-01,9.5
2001-04-01,30.4
2001-07-01,12.5
2001-10-01,26.1
2002-01-01,18.2
2002-04-01,8.7
2002-07-01,15.0
2002-10-01,13.0
2003-01-01,20.0
2003-04-01,5.0
2003-07-01,0.0
2003-10-01,4.3
2004-01-01,0.0
2004-04-01,5.0
2004-07-01,0.0
2004-10-01,-5.0
2005-01-01,-9.5
2005-04-01,-9.5
2005-07-01,0.0
2005-10-01,-5.0
2006-01-01,10.5
2006-04-01,0.0
2006-07-01,0.0
2006-10-01,-5.0
2007-01-01,4.3
2007-04-01,-17.4
2007-07-01,-4.8
2007-10-01,5.3
2008-01-01,8.3
2008-04-01,40.9
2008-07-01,80.0
2008-10-01,63.6
2009-01-01,59.1
2009-04-01,70.0
2009-07-01,42.9
2009-10-01,22.7
2010-01-01,4.5
2010-04-01,10.0
2010-07-01,-13.0
2010-10-01,-19.2
2011-01-01,-16.0
2011-04-01,-32.0
2011-07-01,-14.8
2011-10-01,-12.0
2012-01-01,-17.2
2012-04-01,-10.3
2012-07-01,-18.5
2012-10-01,-18.5
2013-01-01,-6.9
2013-04-01,-6.5
2013-07-01,-3.1
2013-10-01,-6.5
2014-01-01,-3.1
2014-04-01,-12.9
2014-07-01,-12.5
2014-10-01,-9.1
2015-01-01,0.0
2015-04-01,-2.9
2015-07-01,-12.1
2015-10-01,-6.5
2016-01-01,-2.9
2016-04-01,-5.9
2016-07-01,-9.1
2016-10-01,0.0
2017-01-01,9.1
2017-04-01,-9.1
2017-07-01,5.9
2017-10-01,11.4
2018-01-01,3.0
2018-04-01,11.8
2018-07-01,17.6
2018-10-01,0.0
2019-01-01,13.0
2019-04-01,21.7
2019-07-01,21.7
2019-10-01,22.7
2020-01-01,27.3
2020-04-01,61.9
2020-07-01,92.0
2020-10-01,28.0
2021-01-01,-19.2
2021-04-01,-40.7
2021-07-01,-46.4
2021-10-01,-42.3
2022-01-01,-11.1
2022-04-01,-11.5
2022-07-01,3.8
2022-10-01,20.7
2023-01-01,33.3
2023-04-01,32.1
