DATE,RELACBW027SBOG
1973-01-03,97.9791
1973-01-10,98.3093
1973-01-17,98.4812
1973-01-24,98.9166
1973-01-31,99.4067
1973-02-07,99.8355
1973-02-14,100.2693
1973-02-21,100.6111
1973-02-28,101.1084
1973-03-07,101.6831
1973-03-14,102.1350
1973-03-21,102.5493
1973-03-28,103.0670
1973-04-04,103.4126
1973-04-11,103.9326
1973-04-18,104.2378
1973-04-25,104.6765
1973-05-02,105.1033
1973-05-09,105.2364
1973-05-16,105.6099
1973-05-23,105.9499
1973-05-30,106.5089
1973-06-06,106.9616
1973-06-13,107.2464
1973-06-20,107.7048
1973-06-27,107.7781
1973-07-04,108.1552
1973-07-11,108.6949
1973-07-18,109.1329
1973-07-25,109.7460
1973-08-01,110.1272
1973-08-08,110.3912
1973-08-15,110.7754
1973-08-22,110.9988
1973-08-29,111.2792
1973-09-05,111.8673
1973-09-12,112.0111
1973-09-19,112.4951
1973-09-26,112.9274
1973-10-03,113.2933
1973-10-10,113.5626
1973-10-17,113.9333
1973-10-24,114.1362
1973-10-31,114.5306
1973-11-07,114.9725
1973-11-14,115.2326
1973-11-21,115.6574
1973-11-28,116.0115
1973-12-05,116.4108
1973-12-12,116.8520
1973-12-19,117.0751
1973-12-26,117.3033
1974-01-02,117.2789
1974-01-09,117.3434
1974-01-16,117.8818
1974-01-23,118.0561
1974-01-30,118.4819
1974-02-06,118.9065
1974-02-13,119.2375
1974-02-20,119.5378
1974-02-27,119.7476
1974-03-06,120.1315
1974-03-13,120.5762
1974-03-20,121.1908
1974-03-27,121.4220
1974-04-03,121.8765
1974-04-10,122.2584
1974-04-17,122.6429
1974-04-24,123.1774
1974-05-01,123.4663
1974-05-08,123.7347
1974-05-15,123.8753
1974-05-22,124.4028
1974-05-29,124.5291
1974-06-05,124.7153
1974-06-12,124.9865
1974-06-19,125.4212
1974-06-26,125.4985
1974-07-03,125.9604
1974-07-10,126.2821
1974-07-17,126.4981
1974-07-24,126.8141
1974-07-31,127.0105
1974-08-07,127.0220
1974-08-14,127.1945
1974-08-21,127.4929
1974-08-28,127.6363
1974-09-04,127.6896
1974-09-11,127.7413
1974-09-18,128.0585
1974-09-25,128.1990
1974-10-02,128.1382
1974-10-09,128.2893
1974-10-16,128.5461
1974-10-23,128.8510
1974-10-30,128.9132
1974-11-06,128.9769
1974-11-13,129.0387
1974-11-20,129.1178
1974-11-27,129.5663
1974-12-04,129.5620
1974-12-11,129.7841
1974-12-18,129.7547
1974-12-25,129.9542
1975-01-01,129.7864
1975-01-08,129.8092
1975-01-15,129.8958
1975-01-22,130.1581
1975-01-29,130.2044
1975-02-05,130.2685
1975-02-12,130.5318
1975-02-19,130.7586
1975-02-26,130.7662
1975-03-05,130.9764
1975-03-12,131.1453
1975-03-19,131.1666
1975-03-26,131.2286
1975-04-02,131.3746
1975-04-09,131.5268
1975-04-16,131.7177
1975-04-23,131.6591
1975-04-30,131.7285
1975-05-07,131.7310
1975-05-14,131.5873
1975-05-21,131.7198
1975-05-28,131.7503
1975-06-04,131.9674
1975-06-11,131.8935
1975-06-18,131.9048
1975-06-25,131.8626
1975-07-02,131.6200
1975-07-09,131.8732
1975-07-16,131.7986
1975-07-23,131.7882
1975-07-30,131.8917
1975-08-06,132.0301
1975-08-13,131.9197
1975-08-20,131.8964
1975-08-27,131.8315
1975-09-03,132.0390
1975-09-10,132.0305
1975-09-17,131.9961
1975-09-24,132.1470
1975-10-01,132.4404
1975-10-08,132.6435
1975-10-15,132.7120
