DATE,RHEACBW027SBOG
1987-06-17,23.6498
1987-06-24,23.8791
1987-07-01,24.3215
1987-07-08,24.5737
1987-07-15,24.882
1987-07-22,25.0735
1987-07-29,25.3729
1987-08-05,25.6261
1987-08-12,25.9185
1987-08-19,26.1602
1987-08-26,26.4625
1987-09-02,26.726
1987-09-09,27.1631
1987-09-16,27.2904
1987-09-23,27.5404
1987-09-30,27.9775
1987-10-07,28.0742
1987-10-14,28.3007
1987-10-21,28.5495
1987-10-28,28.7498
1987-11-04,29.0408
1987-11-11,29.5667
1987-11-18,29.5378
1987-11-25,29.7132
1987-12-02,29.8864
1987-12-09,30.0431
1987-12-16,30.3387
1987-12-23,30.7478
1987-12-30,31.4631
1988-01-06,31.425
1988-01-13,31.7334
1988-01-20,31.8624
1988-01-27,32.0463
1988-02-03,32.1439
1988-02-10,32.3726
1988-02-17,32.4973
1988-02-24,32.4967
1988-03-02,32.7047
1988-03-09,32.891
1988-03-16,32.9378
1988-03-23,33.0605
1988-03-30,33.1764
1988-04-06,33.6229
1988-04-13,33.5817
1988-04-20,33.7973
1988-04-27,34.0373
1988-05-04,34.2789
1988-05-11,34.4865
1988-05-18,34.595
1988-05-25,34.756
1988-06-01,34.8879
1988-06-08,35.1929
1988-06-15,35.3003
1988-06-22,35.468
1988-06-29,35.6706
1988-07-06,35.8001
1988-07-13,35.9219
1988-07-20,36.1167
1988-07-27,36.3354
1988-08-03,36.5954
1988-08-10,36.7737
1988-08-17,37.0493
1988-08-24,37.2684
1988-08-31,37.5035
1988-09-07,37.6456
1988-09-14,38.075
1988-09-21,38.4338
1988-09-28,38.5736
1988-10-05,38.9319
1988-10-12,39.1245
1988-10-19,39.2666
1988-10-26,39.4862
1988-11-02,39.8598
1988-11-09,40.0455
1988-11-16,40.2694
1988-11-23,40.5947
1988-11-30,40.7906
1988-12-07,40.8806
1988-12-14,41.0535
1988-12-21,41.3084
1988-12-28,41.2964
1989-01-04,41.976
1989-01-11,42.0317
1989-01-18,42.1765
1989-01-25,42.1641
1989-02-01,42.4239
1989-02-08,42.8971
1989-02-15,43.0045
1989-02-22,43.3192
1989-03-01,43.5851
1989-03-08,43.7359
1989-03-15,44.0082
1989-03-22,44.1778
1989-03-29,44.4407
1989-04-05,44.4533
1989-04-12,44.6351
1989-04-19,44.8336
1989-04-26,45.1438
1989-05-03,45.3163
1989-05-10,45.629
1989-05-17,45.7354
1989-05-24,45.9352
1989-05-31,46.055
1989-06-07,46.3739
1989-06-14,46.5118
1989-06-21,46.686
1989-06-28,47.0226
1989-07-05,47.0834
1989-07-12,47.3753
1989-07-19,47.643
1989-07-26,47.683
1989-08-02,47.88
1989-08-09,48.1245
1989-08-16,48.3413
1989-08-23,48.5144
1989-08-30,48.6892
1989-09-06,48.811
1989-09-13,48.9605
1989-09-20,49.2139
1989-09-27,49.3607
1989-10-04,49.1153
1989-10-11,49.3482
1989-10-18,49.6128
1989-10-25,49.8109
1989-11-01,50.0803
1989-11-08,50.194
1989-11-15,50.422
1989-11-22,50.6636
1989-11-29,50.813
1989-12-06,51.0629
1989-12-13,51.3547
1989-12-20,51.4556
1989-12-27,51.6554
1990-01-03,52.0253
1990-01-10,52.2794
1990-01-17,52.4005
1990-01-24,52.5746
1990-01-31,52.8175
1990-02-07,52.9311
1990-02-14,53.0714
1990-02-21,53.2361
1990-02-28,53.2733
1990-03-07,53.5955
1990-03-14,53.8921
1990-03-21,54.089
1990-03-28,54.1805
1990-04-04,54.2074
1990-04-11,54.5847
1990-04-18,54.8393
1990-04-25,55.1543
1990-05-02,55.2846
